match,decision,turn,seat,agent,action,value,complete,decision_seconds,decision_limit_seconds,deadline_hit,lethal_proof_seconds,total_search_seconds,first_found_seconds,stabilized_seconds,remaining_search_seconds,strategy_wave,strategy_focus_position,strategy_focus_count
4,11,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1031,\""playerIndex\"":0}]]]""]}",1.286456952057661,True,1.4925590000348166,120.0,False,0.25,1.2349999999860302,0.4220000000204891,0.4220000000204891,0.8129999999655411,widening,,0
4,12,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":0}]]]""]}",0.7631236187243277,True,0.9262936000013724,120.0,False,0.23399999999674037,0.6560000000172295,0.35899999999674037,0.35899999999674037,0.2970000000204891,widening,,0
4,13,2,0,mega_starmie,"{""kind"":""attach"",""parts"":[""[0,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":0}],[4,{\""appearThisTurn\"":false,\""energies\"":[],\""energyCards\"":[],\""hp\"":160,\""id\"":666,\""maxHp\"":160,\""playerIndex\"":0,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.712456952057661,True,0.3581722999806516,120.0,False,0.125,0.2190000000409782,0.1720000000204891,0.1720000000204891,0.0470000000204891,first,1,1
4,14,2,0,mega_starmie,"{""kind"":""attack"",""parts"":[""[0,{\""attackId\"":965,\""type\"":13},[]]""]}",0.4297902853909943,True,0.25008140003774315,120.0,False,0.125,0.10899999999674037,0.0940000000409782,0.0940000000409782,0.014999999955762178,first,,0
4,15,2,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":0}]]]""]}",0.024242424242424242,True,1.2505935999797657,120.0,False,0.0470000000204891,1.1560000000172295,1.1560000000172295,1.1560000000172295,0.0,widening,,0
4,16,,0,mega_starmie,"{""kind"":""forced_selection"",""parts"":[21]}",0.0,True,0.0020340000046417117,120.0,False,,0.0020340000046417117,,,,,,
4,17,3,1,mega_starmie,"{""kind"":""play"",""parts"":[""[1,{\""type\"":7},[[2,{\""id\"":1227,\""playerIndex\"":1}]]]""]}",0.5717709581333221,True,23.30119020002894,120.0,False,0.35899999999674037,22.81300000002375,1.327999999979511,1.327999999979511,21.485000000044238,first,3,3
4,18,3,1,mega_starmie,"{""kind"":""attack"",""parts"":[""[1,{\""attackId\"":965,\""type\"":13},[]]""]}",0.4026598470222112,True,1.98164720000932,120.0,False,0.35899999999674037,1.5929999999934807,1.4839999999967404,1.4839999999967404,0.10899999999674037,first,,1
4,19,3,1,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":1,\""type\"":3},[[1,{\""id\"":3,\""playerIndex\"":1}]]]""]}",0.25974025974025977,True,1.7933016999741085,120.0,False,0.09399999998277053,1.5939999999827705,1.5939999999827705,1.5939999999827705,0.0,widening,,0
4,20,,0,mega_starmie,"{""kind"":""play"",""parts"":[""[0,{\""type\"":7},[[2,{\""id\"":1189,\""playerIndex\"":0}]]]""]}",0.0,True,0.3188619000138715,120.0,False,0.2809999999590218,0.3188619000138715,,,,,,
4,21,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""playerIndex\"":0,\""type\"":3},[[1,{\""id\"":1031,\""playerIndex\"":0}]]]""]}",0.0,True,0.28512050001882017,120.0,False,0.26500000001396984,0.28512050001882017,,,,,,
4,22,,0,mega_starmie,"{""kind"":""forced_selection"",""parts"":[18]}",0.0,True,0.0058948000078089535,120.0,False,,0.0058948000078089535,,,,,,
4,23,,0,mega_starmie,"{""kind"":""retreat"",""parts"":[""[0,{\""type\"":12},[]]""]}",0.0,True,0.11177079996559769,120.0,False,0.09299999999348074,0.11177079996559769,,,,,,
4,24,,0,mega_starmie,"{""kind"":""forced_selection"",""parts"":[3]}",0.0,True,0.006061499996576458,120.0,False,,0.006061499996576458,,,,,,
4,25,,0,mega_starmie,"{""kind"":""attack"",""parts"":[""[0,{\""attackId\"":1487,\""type\"":13},[]]""]}",0.0,True,0.04228460002923384,120.0,False,0.031000000017229468,0.04228460002923384,,,,,,
4,26,,0,mega_starmie,"{""kind"":""card"",""parts"":[""[{\""area\"":6,\""index\"":0,\""playerIndex\"":0,\""type\"":3},[]]""]}",0.0,True,0.04179630003636703,120.0,False,0.01600000000325963,0.04179630003636703,,,,,,
5,0,,0,mega_starmie,"{""kind"":""choose_start"",""parts"":[41]}",0.0,True,0.00015839998377487063,,False,,0.00015839998377487063,,,,,,
5,1,,1,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00021599995670840144,,False,,0.00021599995670840144,,,,,,
5,2,,0,mega_starmie,"{""kind"":""setup_active"",""parts"":[1]}",0.0,True,0.00023280002642422915,,False,,0.00023280002642422915,,,,,,
5,3,,1,mega_starmie,"{""kind"":""setup_bench_decline"",""parts"":[2]}",0.0,True,0.00016220001270994544,,False,,0.00016220001270994544,,,,,,
5,4,1,1,mega_starmie,"{""kind"":""attach"",""parts"":[""[1,{\""type\"":8},[[2,{\""id\"":3,\""playerIndex\"":1}],[4,{\""appearThisTurn\"":true,\""energies\"":[],\""energyCards\"":[],\""hp\"":70,\""id\"":1030,\""maxHp\"":70,\""playerIndex\"":1,\""preEvolution\"":[],\""tools\"":[]}]]]""]}",0.31409523809523815,True,0.42023729998618364,120.0,False,0.13999999995576218,0.23399999999674037,0.18800000002374873,0.18800000002374873,0.045999999972991645,first,2,2
